0,1
train_256/peeling_apples/0T3YtsWWEBM_000000_000010.mp4,peeling_apples
train_256/peeling_apples/2sywFP6JCzM_000051_000061.mp4,peeling_apples
train_256/peeling_apples/0m33UXBjaEg_000006_000016.mp4,peeling_apples
train_256/peeling_apples/0v-Y8SnNEVY_000025_000035.mp4,peeling_apples
train_256/peeling_apples/151r492H6X8_000144_000154.mp4,peeling_apples
train_256/peeling_apples/2cwC0mVVls0_000014_000024.mp4,peeling_apples
train_256/peeling_apples/2RIBdKujTiY_000003_000013.mp4,peeling_apples
train_256/peeling_apples/1bKsC3HY2MA_000066_000076.mp4,peeling_apples
train_256/peeling_apples/2hiPMnxCtDw_000060_000070.mp4,peeling_apples
train_256/peeling_apples/2wqW177zwaA_000022_000032.mp4,peeling_apples
train_256/peeling_apples/03xO1H48Kas_000055_000065.mp4,peeling_apples
train_256/peeling_apples/0cKRYGwRxp4_000001_000011.mp4,peeling_apples
train_256/peeling_apples/0LYyyV5PRwY_000021_000031.mp4,peeling_apples
train_256/peeling_apples/1_jfz7DZgtA_000001_000011.mp4,peeling_apples
train_256/peeling_apples/1-nzW98f0M_000002_000012.mp4,peeling_apples
train_256/peeling_apples/1qSZDBpv6lM_000077_000087.mp4,peeling_apples
train_256/peeling_apples/1Rhy8gl_l4M_000436_000446.mp4,peeling_apples
train_256/peeling_apples/20NoP2irHZE_000001_000011.mp4,peeling_apples
train_256/peeling_apples/28FryKFFCg0_000026_000036.mp4,peeling_apples
train_256/peeling_apples/2gNphD7Zs6I_000008_000018.mp4,peeling_apples
train_256/peeling_apples/2uzt0eAalss_000017_000027.mp4,peeling_apples
train_256/petting_animal_-not_cat-/0r1tBheuaXU_000019_000029.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0_4zOwgabn4_000048_000058.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/02MhTVQbVwg_000048_000058.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/04Ry5x8zCqs_000156_000166.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/06lRs8M7bSA_000015_000025.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/07diMt4U1lw_000116_000126.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/07xXjxsohjA_000130_000140.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0e1EMM81emQ_000357_000367.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0f9x0bULOJw_000282_000292.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0IAlB8EBZkc_000007_000017.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0NxxH7g8O5s_000026_000036.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0-ukHRelxA_000015_000025.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0Wo98IdOc08_000037_000047.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0xZreisqYSo_000005_000015.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/0z3oGtLGlNo_000030_000040.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1bsRsgz_3zk_000032_000042.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1CN2-8KGLKo_000311_000321.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1FsP1VEEOaE_000038_000048.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1hCeTrNDlnA_000127_000137.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1jMZZo7qrr8_000056_000066.mp4,petting_animal_-not_cat-
train_256/petting_animal_-not_cat-/1mQwb1lL9Nk_000045_000055.mp4,petting_animal_-not_cat-
train_256/busking/1GA0yP8Hcjs_000000_000010.mp4,busking
train_256/busking/-ie428pWN2Y_000007_000017.mp4,busking
train_256/busking/0w_ShCl1xvg_000112_000122.mp4,busking
train_256/busking/1C4SkwtFef0_000304_000314.mp4,busking
train_256/busking/09ZqZjaFpdU_000077_000087.mp4,busking
train_256/busking/1IJ2UP6mRBY_000000_000010.mp4,busking
train_256/busking/1IKd9kyLNM4_000004_000014.mp4,busking
train_256/busking/0EIvCebTa1I_000004_000014.mp4,busking
train_256/busking/05Lk-dZ2mwI_000084_000094.mp4,busking
train_256/busking/0oI3zO1qhSg_000024_000034.mp4,busking
train_256/busking/1MwW-Hx98gE_000141_000151.mp4,busking
train_256/busking/01kg5tVtQmo_000196_000206.mp4,busking
train_256/busking/09ZteBZNW8I_000011_000021.mp4,busking
train_256/busking/0BnTZBPrn3Q_000347_000357.mp4,busking
train_256/busking/0CCIXVUsgf4_000164_000174.mp4,busking
train_256/busking/0L4QBCRbxqg_000000_000010.mp4,busking
train_256/busking/0-PpgRaT3Es_000029_000039.mp4,busking
train_256/busking/0Pv17FURqoA_000125_000135.mp4,busking
train_256/busking/0wb0m3y22X0_000076_000086.mp4,busking
train_256/busking/14KXz6FO7g0_000141_000151.mp4,busking
train_256/busking/18HPFcUTgPs_000113_000123.mp4,busking
train_256/shoveling_snow/0kwW_fULnsU_000007_000017.mp4,shoveling_snow
train_256/shoveling_snow/0Fq6croYsmc_000076_000086.mp4,shoveling_snow
train_256/shoveling_snow/1IlTIWPNs4_000027_000037.mp4,shoveling_snow
train_256/shoveling_snow/1iwnC17MbD4_000472_000482.mp4,shoveling_snow
train_256/shoveling_snow/14LcHlZSgqA_000022_000032.mp4,shoveling_snow
train_256/shoveling_snow/02Rvsxd82H0_000002_000012.mp4,shoveling_snow
train_256/shoveling_snow/1eNKBJarmnM_000041_000051.mp4,shoveling_snow
train_256/shoveling_snow/0zK8NHangy0_000014_000024.mp4,shoveling_snow
train_256/shoveling_snow/1r-zf9IibBs_000005_000015.mp4,shoveling_snow
train_256/shoveling_snow/1gT9ZlTljds_000003_000013.mp4,shoveling_snow
train_256/shoveling_snow/1xhr5X6UTR4_000004_000014.mp4,shoveling_snow
train_256/shoveling_snow/060M6aKGzh0_000073_000083.mp4,shoveling_snow
train_256/shoveling_snow/09pVvvITA-o_000003_000013.mp4,shoveling_snow
train_256/shoveling_snow/0aqDkvYE4fM_000043_000053.mp4,shoveling_snow
train_256/shoveling_snow/0jVfElwRIQ8_000195_000205.mp4,shoveling_snow
train_256/shoveling_snow/0z3zzNp6Niw_000052_000062.mp4,shoveling_snow
train_256/shoveling_snow/1_IWd8KLnGU_000001_000011.mp4,shoveling_snow
train_256/shoveling_snow/11coAznxbec_000029_000039.mp4,shoveling_snow
train_256/shoveling_snow/12aTS89Og6Y_000026_000036.mp4,shoveling_snow
train_256/shoveling_snow/1nl-d49r-wA_000009_000019.mp4,shoveling_snow
train_256/shoveling_snow/2-uZHLjCNoc_000003_000013.mp4,shoveling_snow
train_256/cleaning_pool/1ez0IeX4Kk0_000002_000012.mp4,cleaning_pool
train_256/cleaning_pool/1e0-UX_NpK8_000031_000041.mp4,cleaning_pool
train_256/cleaning_pool/1poP2fivZhI_000101_000111.mp4,cleaning_pool
train_256/cleaning_pool/0jyNVFLbpEk_000185_000195.mp4,cleaning_pool
train_256/cleaning_pool/0Gi-V-NK-Ks_000278_000288.mp4,cleaning_pool
train_256/cleaning_pool/0FFV5R5rmIo_000147_000157.mp4,cleaning_pool
train_256/cleaning_pool/1ZlVbj9ra88_000010_000020.mp4,cleaning_pool
train_256/cleaning_pool/2fnAwB_zCEo_000531_000541.mp4,cleaning_pool
train_256/cleaning_pool/3KoRIbvr1FA_000044_000054.mp4,cleaning_pool
train_256/cleaning_pool/0tu65qjHaB8_000160_000170.mp4,cleaning_pool
train_256/cleaning_pool/1pSWYwwqEPg_000006_000016.mp4,cleaning_pool
train_256/cleaning_pool/38jGxNJWUD0_000178_000188.mp4,cleaning_pool
train_256/cleaning_pool/2cVRqST5xq8_000001_000011.mp4,cleaning_pool
train_256/cleaning_pool/3Mpb1qFzVE4_000030_000040.mp4,cleaning_pool
train_256/cleaning_pool/2PT4NLXrijc_000030_000040.mp4,cleaning_pool
train_256/cleaning_pool/3RYB_Xu1TG8_000069_000079.mp4,cleaning_pool
train_256/cleaning_pool/2UfqGg_F-Hw_000015_000025.mp4,cleaning_pool
train_256/cleaning_pool/1scesQQaA9w_000000_000010.mp4,cleaning_pool
train_256/cleaning_pool/1xbAFUgd188_000002_000012.mp4,cleaning_pool
train_256/cleaning_pool/0XdnWuw1TH8_000148_000158.mp4,cleaning_pool
train_256/cleaning_pool/2AHr8H3PnrI_000004_000014.mp4,cleaning_pool
train_256/cleaning_shoes/1gg7_TuXXeM_000006_000016.mp4,cleaning_shoes
train_256/cleaning_shoes/0CwJ4RlDJEQ_000002_000012.mp4,cleaning_shoes
train_256/cleaning_shoes/0S6vClg9eaE_000017_000027.mp4,cleaning_shoes
train_256/cleaning_shoes/0Rvubjhg-s_000017_000027.mp4,cleaning_shoes
train_256/cleaning_shoes/-u-Dv9_HzNg_000093_000103.mp4,cleaning_shoes
train_256/cleaning_shoes/2Us3vFIOIUI_000003_000013.mp4,cleaning_shoes
train_256/cleaning_shoes/2DqqfzXxWBg_000050_000060.mp4,cleaning_shoes
